1635901,1,10,,,,CONCEPT: The International Standard Classification of Occupations (ISCO-08) is an international classification managed by the International Labour Organisation (ILO). It is a revision of the ISCO-88, which it supersedes. ISCO-08 is a tool for organizing jobs into a clearly defined set of groups according to the tasks and duties undertaken in the job. ISCO-08 has been developed to facilitate international comparisons of occupational statistics and to serve as a model for countries developing or revising their national occupational classifications. The framework used for the design and construction of ISCO-08 is based on two main concepts: the concept of job, and the concept of skill. A job is defined in ISCO-08 as “a set of tasks and duties performed, or meant to be performed, by one person, including for an employer or in self-employment”. Occupation refers to the kind of work performed in a job. The concept of occupation is defined as a “set of jobs whose main tasks and duties are characterized by a high degree of similarity”. A person may be associated with an occupation through the main job currently held, a second job, a future job or a job previously held. Skill is defined as the ability to carry out the tasks and duties of a given job. For the purposes of ISCO-08, two dimensions of skills are used to arrange occupations into two groups: (a) Skill level is defined as a function of the complexity and range of tasks and duties to be performed in an occupation and (b) skill specialization is considered in terms of four concepts: the field of knowledge required, the tools and machinery used, the materials worked on or with and the kinds of goods and services produced.
1635980,4,800,770,OC2163,OC216,Product and garment designers
1635981,4,810,770,OC2164,OC216,Town and traffic planners
1635982,4,820,770,OC2165,OC216,Cartographers and surveyors
1635983,4,830,770,OC2166,OC216,Graphic and multimedia designers
1635984,2,840,520,OC22,OC2,Health professionals
1635985,3,850,840,OC221,OC22,Medical doctors
1635986,4,860,850,OC2211,OC221,Generalist medical practitioners
1635987,4,870,850,OC2212,OC221,Specialist medical practitioners
1635988,3,880,840,OC222_322_5321_5322,OC22,Nurses, midewives, health care assistants and home-based personal care workers
1635989,3,890,840,OC222_322_5321,OC22,Nurses, midewives and health care assistants
1635990,3,900,840,OC222_322,OC22,Nurses and midwives
1635991,3,910,840,OC222_3222,OC22,Nursing professionals and midwives
1635992,3,920,840,OC222,OC22,Nursing and midwifery professionals
1635993,4,930,920,OC2221_3221,OC222,Nurses
1635994,4,940,920,OC2221,OC222,Nursing professionals
1635995,4,950,920,OC2222_3222,OC222,Midwives
1635996,4,960,920,OC2222,OC222,Midwifery professionals
1635997,3,970,840,OC223,OC22,Traditional and complementary medicine professionals
1635998,4,980,970,OC2230,OC223,Traditional and complementary medicine professionals
1635999,3,990,840,OC224,OC22,Paramedical practitioners
1636000,4,1000,990,OC2240,OC224,Paramedical practitioners
1636001,3,1010,840,OC225,OC22,Veterinarians
1636002,4,1020,1010,OC2250,OC225,Veterinarians
1636003,3,1030,840,OC226,OC22,Other health professionals
1636004,4,1040,1030,OC2261,OC226,Dentists
1636005,4,1050,1030,OC2262,OC226,Pharmacists
1636006,4,1060,1030,OC2263,OC226,Environmental and occupational health and hygiene professionals
1636007,4,1070,1030,OC2264,OC226,Physiotherapists
1636008,4,1080,1030,OC2265,OC226,Dieticians and nutritionists
1636009,4,1090,1030,OC2266,OC226,Audiologists and speech therapists
1636010,4,1100,1030,OC2267,OC226,Optometrists and ophthalmic opticians
1636011,4,1110,1030,OC2269,OC226,Health professionals not elsewhere classified
1636012,2,1120,520,OC23,OC2,Teaching professionals
1636013,3,1130,1120,OC231,OC23,University and higher education teachers
1636014,4,1140,1130,OC2310,OC231,University and higher education teachers
1636015,3,1150,1120,OC232,OC23,Vocational education teachers
1636016,4,1160,1150,OC2320,OC232,Vocational education teachers
1636017,3,1170,1120,OC233,OC23,Secondary education teachers
1636018,4,1180,1170,OC2330,OC233,Secondary education teachers
1636019,3,1190,1120,OC234,OC23,Primary school and early childhood teachers
1636020,4,1200,1190,OC2341,OC234,Primary school teachers
1636021,4,1210,1190,OC2342,OC234,Early childhood educators
1636022,3,1220,1120,OC235,OC23,Other teaching professionals
1636023,4,1230,1220,OC2351,OC235,Education methods specialists
1636024,4,1240,1220,OC2352,OC235,Special needs teachers
1636025,4,1250,1220,OC2353,OC235,Other language teachers
1636026,4,1260,1220,OC2354,OC235,Other music teachers
1636027,4,1270,1220,OC2355,OC235,Other arts teachers
1636028,4,1280,1220,OC2356,OC235,Information technology trainers
1636029,4,1290,1220,OC2359,OC235,Teaching professionals not elsewhere classified
1636030,2,1300,520,OC24,OC2,Business and administration professionals
1636031,3,1310,1300,OC241,OC24,Finance professionals
1636032,4,1320,1310,OC2411,OC241,Accountants
1636033,4,1330,1310,OC2412,OC241,Financial and investment advisers
1636034,4,1340,1310,OC2413,OC241,Financial analysts
1636035,3,1350,1300,OC242,OC24,Administration professionals
1636036,4,1360,1350,OC2421,OC242,Management and organization analysts
1636037,4,1370,1350,OC2422,OC242,Policy administration professionals
1636038,4,1380,1350,OC2423,OC242,Personnel and careers professionals
1636039,4,1390,1350,OC2424,OC242,Training and staff development professionals
1636040,3,1400,1300,OC243,OC24,Sales, marketing and public relations professionals
1636041,4,1410,1400,OC2431,OC243,Advertising and marketing professionals
1636042,4,1420,1400,OC2432,OC243,Public relations professionals
1636043,4,1430,1400,OC2433,OC243,Technical and medical sales professionals (excluding ICT)
1636044,4,1440,1400,OC2434,OC243,Information and communications technology sales professionals
1636045,2,1450,520,OC25,OC2,Information and communications technology professionals
1636046,3,1460,1450,OC251,OC25,Software and applications developers and analysts
1636047,4,1470,1460,OC2511,OC251,Systems analysts
1636048,4,1480,1460,OC2512,OC251,Software developers
1636049,4,1490,1460,OC2513,OC251,Web and multimedia developers
1636050,4,1500,1460,OC2514,OC251,Applications programmers
1636051,4,1510,1460,OC2519,OC251,Software and applications developers and analysts not elsewhere classified
1636052,3,1520,1450,OC252,OC25,Database and network professionals
1636053,4,1530,1520,OC2521,OC252,Database designers and administrators
1636054,4,1540,1520,OC2522,OC252,Systems administrators
1636055,4,1550,1520,OC2523,OC252,Computer network professionals
1636056,4,1560,1520,OC2529,OC252,Database and network professionals not elsewhere classified
1636057,2,1570,520,OC26,OC2,Legal, social and cultural professionals
1636058,3,1580,1570,OC261,OC26,Legal professionals
1636059,4,1590,1580,OC2611,OC261,Lawyers
1636060,4,1600,1580,OC2612,OC261,Judges
1636061,5,1610,1600,OC2612A,OC2612,Professional judges
1636062,5,1620,1600,OC2612B,OC2612,Non professional judges and magistrates
1636063,4,1630,1580,OC2619,OC261,Legal professionals not elsewhere classified
1636064,3,1640,1570,OC262,OC26,Librarians, archivists and curators
1636065,4,1650,1640,OC2621,OC262,Archivists and curators
1636066,4,1660,1640,OC2622,OC262,Librarians and related information professionals
1636067,3,1670,1570,OC263,OC26,Social and religious professionals
1636068,4,1680,1670,OC2631,OC263,Economists
1636069,4,1690,1670,OC2632,OC263,Sociologists, anthropologists and related professionals
1636070,4,1700,1670,OC2633,OC263,Philosophers, historians and political scientists
1636071,4,1710,1670,OC2634,OC263,Psychologists
1636072,4,1720,1670,OC2635,OC263,Social work and counselling professionals
1636073,4,1730,1670,OC2636,OC263,Religious professionals
1636074,3,1740,1570,OC264,OC26,Authors, journalists and linguists
1636075,4,1750,1740,OC2641,OC264,Authors and related writers
1636076,4,1760,1740,OC2642,OC264,Journalists
1636077,4,1770,1740,OC2643,OC264,Translators, interpreters and other linguists
1636078,3,1780,1570,OC265,OC26,Creative and performing artists
1636079,4,1790,1780,OC2651,OC265,Visual artists
1636080,4,1800,1780,OC2652,OC265,Musicians, singers and composers
1636081,4,1810,1780,OC2653,OC265,Dancers and choreographers
1636082,4,1820,1780,OC2654,OC265,Film, stage and related directors and producers
1636083,4,1830,1780,OC2655,OC265,Actors
